,label,image_name,x1,x2,y1,y2
0,"[3, 3, 3]",WP54_frame_84215.jpg,"[869, 907, 1764]","[1158, 1036, 1924]","[582, 605, 995]","[888, 871, 1076]"
1,"[1, 1]",WP40_frame_35364.jpg,"[886, 1157]","[1011, 1305]","[765, 838]","[924, 973]"
2,[3],WP38_frame_82357.jpg,[1365],[1521],[611],[837]
3,[3],Rangatira_20pointKAP23_2021_frame_37800.jpg,[3],[179],[584],[803]
4,[1],TUH_035_22_09_2020_frame_66053.jpg,[1305],[1577],[596],[773]
5,"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_19075.jpg,"[212, 245, 1083]","[601, 657, 1287]","[566, 630, 0]","[843, 768, 106]"
6,"[2, 3, 3]",WP54_frame_83556.jpg,"[1421, 942, 1380]","[1609, 1659, 1569]","[599, 620, 603]","[949, 849, 923]"
7,"[2, 2, 3]",WP38_frame_99410.jpg,"[1021, 1159, 1149]","[1138, 1387, 1387]","[98, 983, 1005]","[131, 1099, 1086]"
8,[3],WP54_frame_95004.jpg,[805],[1001],[551],[926]
9,"[1, 2]",WP40_frame_40069.jpg,"[712, 321]","[1207, 396]","[611, 670]","[875, 785]"
10,"[1, 1, 1, 2]",KPT_017_2021_02_26_frame_24037.jpg,"[96, 972, 1106, 114]","[229, 1028, 1162, 199]","[843, 122, 438, 795]","[887, 252, 601, 957]"
11,[3],Green_20canKAP24_2021_frame_31462.jpg,[1],[271],[391],[493]
12,[3],WP40_frame_42587.jpg,[305],[429],[1014],[1071]
13,[3],Green_20canKAP24_2021_frame_45000.jpg,[4],[355],[274],[405]
14,"[1, 1, 1, 2]",WP38_frame_112207.jpg,"[334, 901, 925, 351]","[721, 1071, 1109, 615]","[660, 194, 187, 666]","[878, 251, 325, 795]"
15,"[1, 1, 1]",PMR12_2012_frame_52357.jpg,"[207, 503, 508]","[396, 558, 582]","[5, 114, 342]","[77, 303, 403]"
16,"[1, 1]",KPT_017_2021_02_26_frame_28662.jpg,"[619, 708]","[738, 808]","[373, 673]","[681, 897]"
17,"[1, 1, 1]",KPT_017_2021_02_26_frame_30962.jpg,"[328, 520, 735]","[512, 568, 813]","[787, 541, 655]","[977, 723, 967]"
18,"[2, 3]",WP38_frame_63836.jpg,"[1183, 1393]","[1309, 1630]","[359, 433]","[469, 575]"
19,[2],Hole_20in_20the_20wall_20bayKAP16_2021_frame_10875.jpg,[1202],[1282],[232],[292]
20,"[3, 3]",Green_20canKAP24_2021_frame_44000.jpg,"[204, 730]","[488, 1046]","[380, 274]","[600, 519]"
22,[3],WP54_frame_96983.jpg,[1486],[1729],[882],[1083]
23,"[1, 1]",Rangatira_20pointKAP23_2021_frame_39425.jpg,"[498, 1087]","[646, 1323]","[909, 29]","[962, 117]"
24,"[3, 3, 3, 3]",KPT_017_2021_02_26_frame_21525.jpg,"[244, 699, 720, 1137]","[313, 1250, 1068, 1237]","[696, 211, 276, 348]","[795, 633, 488, 710]"
25,[1],CON30_2012_frame_24335.jpg,[626],[687],[360],[447]
26,"[1, 1, 1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_11425.jpg,"[80, 122, 635, 828, 1021]","[232, 1259, 1108, 901, 1209]","[840, 92, 144, -9, 423]","[968, 851, 696, 90, 587]"
27,"[2, 3]",WP40_frame_109210.jpg,"[1302, 1459]","[1400, 1708]","[593, 628]","[863, 732]"
28,[1],Onepoto_20pointKAP20_2020_frame_54215.jpg,[1194],[1599],[758],[1071]
29,"[1, 1]",TUH_035_22_09_2020_frame_79719.jpg,"[790, 1176]","[1081, 1368]","[234, 611]","[570, 844]"
30,"[1, 2]",PMR74_2021_03_01_frame_39375.jpg,"[-90, 9]","[130, 101]","[447, 481]","[626, 621]"
31,"[1, 1, 1]",PMR12_2012_frame_13816.jpg,"[104, 117, 321]","[159, 148, 486]","[289, 280, 193]","[376, 386, 274]"
32,"[3, 3, 3]",Green_20canKAP24_2021_frame_45425.jpg,"[190, 252, 515]","[423, 360, 667]","[486, 482, 4]","[799, 791, 72]"
33,"[3, 3, 3]",Green_20canKAP24_2021_frame_43675.jpg,"[14, 182, 183]","[254, 623, 656]","[574, 834, 894]","[624, 979, 963]"
34,"[1, 1]",WP54_frame_97522.jpg,"[597, 1176]","[693, 1573]","[383, 139]","[530, 422]"
35,[3],WP54_frame_85654.jpg,[1089],[1457],[569],[768]
36,[3],PMR74_2021_03_01_frame_5725.jpg,[798],[932],[685],[715]
37,"[3, 3]",WP54_frame_99320.jpg,"[920, 1485]","[1294, 1807]","[619, 503]","[742, 779]"
38,"[1, 1]",WP40_frame_31408.jpg,"[1392, 1709]","[1500, 1847]","[779, 454]","[880, 504]"
39,"[2, 2]",WP54_frame_47052.jpg,"[1315, 1644]","[1425, 1756]","[157, 132]","[203, 228]"
40,"[1, 1]",Rangatira_20pointKAP23_2021_frame_20825.jpg,"[366, 425]","[888, 760]","[619, 665]","[883, 909]"
41,"[3, 3]",Rangatira_20pointKAP23_2021_frame_27225.jpg,"[299, 317]","[646, 629]","[435, 499]","[690, 606]"
42,[2],WP40_frame_43066.jpg,[1404],[1576],[899],[1069]
43,[3],PMR74_2021_03_01_frame_38950.jpg,[1045],[1169],[-44],[221]
44,[2],WP40_frame_109690.jpg,[1312],[1485],[460],[724]
45,"[1, 1]",Rangatira_20pointKAP23_2021_frame_38325.jpg,"[78, 230]","[411, 459]","[458, -17]","[918, 111]"
46,"[2, 3, 3]",WP40_frame_55324.jpg,"[1018, 89, 1029]","[1174, 201, 1216]","[707, 846, 730]","[899, 982, 881]"
47,[3],WP38_frame_83676.jpg,[1839],[1962],[590],[873]
48,[3],WP54_frame_86373.jpg,[1450],[1893],[540],[764]
49,[2],WP38_frame_80769.jpg,[1534],[1722],[779],[866]
50,[1],PMR23_2012_frame_34465.jpg,[15],[119],[370],[454]
51,[3],WP54_frame_83616.jpg,[1020],[1293],[570],[796]
52,"[1, 1]",KPT_017_2021_02_26_frame_30737.jpg,"[683, 1142]","[832, 1293]","[734, 36]","[845, 63]"
53,[1],WP40_frame_47682.jpg,[272],[466],[423],[480]
54,"[1, 1, 2]",PMR74_2021_03_01_frame_38025.jpg,"[1154, 1206, 340]","[1275, 1315, 525]","[255, 313, 381]","[514, 552, 521]"
55,"[2, 2]",WP40_frame_39170.jpg,"[1181, 1434]","[1381, 1568]","[636, 775]","[853, 844]"
56,"[1, 1, 2]",WP38_frame_92007.jpg,"[668, 1212, 906]","[841, 1314, 1097]","[733, 342, 639]","[873, 481, 871]"
57,[3],WP38_frame_83736.jpg,[1728],[1912],[479],[888]
