label,image_name,x1,x2,y1,y2
"[3, 3, 3]",WP54_frame_84215.jpg,"[869, 907, 1764]","[1158, 1036, 1924]","[582, 605, 995]","[888, 871, 1076]"
"[1, 1]",WP40_frame_35364.jpg,"[886, 1157]","[1011, 1305]","[765, 838]","[924, 973]"
[3],WP38_frame_82357.jpg,[1365],[1521],[611],[837]
[3],Rangatira_20pointKAP23_2021_frame_37800.jpg,[3],[179],[584],[803]
[1],TUH_035_22_09_2020_frame_66053.jpg,[1305],[1577],[596],[773]
"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_19075.jpg,"[212, 245, 1083]","[601, 657, 1287]","[566, 630, 0]","[843, 768, 106]"
"[2, 3, 3]",WP54_frame_83556.jpg,"[1421, 942, 1380]","[1609, 1659, 1569]","[599, 620, 603]","[949, 849, 923]"
"[2, 2, 3]",WP38_frame_99410.jpg,"[1021, 1159, 1149]","[1138, 1387, 1387]","[98, 983, 1005]","[131, 1099, 1086]"
[3],WP54_frame_95004.jpg,[805],[1001],[551],[926]
"[1, 2]",WP40_frame_40069.jpg,"[712, 321]","[1207, 396]","[611, 670]","[875, 785]"
"[1, 1, 1, 2]",KPT_017_2021_02_26_frame_24037.jpg,"[96, 972, 1106, 114]","[229, 1028, 1162, 199]","[843, 122, 438, 795]","[887, 252, 601, 957]"
[3],Green_20canKAP24_2021_frame_31462.jpg,[1],[271],[391],[493]
[3],WP40_frame_42587.jpg,[305],[429],[1014],[1071]
[3],Green_20canKAP24_2021_frame_45000.jpg,[4],[355],[274],[405]
"[1, 1, 1, 2]",WP38_frame_112207.jpg,"[334, 901, 925, 351]","[721, 1071, 1109, 615]","[660, 194, 187, 666]","[878, 251, 325, 795]"
"[1, 1, 1]",PMR12_2012_frame_52357.jpg,"[207, 503, 508]","[396, 558, 582]","[5, 114, 342]","[77, 303, 403]"
"[1, 1]",KPT_017_2021_02_26_frame_28662.jpg,"[619, 708]","[738, 808]","[373, 673]","[681, 897]"
"[1, 1, 1]",KPT_017_2021_02_26_frame_30962.jpg,"[328, 520, 735]","[512, 568, 813]","[787, 541, 655]","[977, 723, 967]"
"[2, 3]",WP38_frame_63836.jpg,"[1183, 1393]","[1309, 1630]","[359, 433]","[469, 575]"
[2],Hole_20in_20the_20wall_20bayKAP16_2021_frame_10875.jpg,[1202],[1282],[232],[292]
"[3, 3]",Green_20canKAP24_2021_frame_44000.jpg,"[204, 730]","[488, 1046]","[380, 274]","[600, 519]"
"[2, 3]",WP54_frame_81638.jpg,"[1243, 1219]","[1694, 1641]","[474, 399]","[518, 567]"
[3],WP54_frame_96983.jpg,[1486],[1729],[882],[1083]
"[1, 1]",Rangatira_20pointKAP23_2021_frame_39425.jpg,"[498, 1087]","[646, 1323]","[909, 29]","[962, 117]"
"[3, 3, 3, 3]",KPT_017_2021_02_26_frame_21525.jpg,"[244, 699, 720, 1137]","[313, 1250, 1068, 1237]","[696, 211, 276, 348]","[795, 633, 488, 710]"
[1],CON30_2012_frame_24335.jpg,[626],[687],[360],[447]
"[1, 1, 1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_11425.jpg,"[80, 122, 635, 828, 1021]","[232, 1259, 1108, 901, 1209]","[840, 92, 144, -9, 423]","[968, 851, 696, 90, 587]"
"[2, 3]",WP40_frame_109210.jpg,"[1302, 1459]","[1400, 1708]","[593, 628]","[863, 732]"
[1],Onepoto_20pointKAP20_2020_frame_54215.jpg,[1194],[1599],[758],[1071]
"[1, 1]",TUH_035_22_09_2020_frame_79719.jpg,"[790, 1176]","[1081, 1368]","[234, 611]","[570, 844]"
"[1, 2]",PMR74_2021_03_01_frame_39375.jpg,"[-90, 9]","[130, 101]","[447, 481]","[626, 621]"
"[1, 1, 1]",PMR12_2012_frame_13816.jpg,"[104, 117, 321]","[159, 148, 486]","[289, 280, 193]","[376, 386, 274]"
"[3, 3, 3]",Green_20canKAP24_2021_frame_45425.jpg,"[190, 252, 515]","[423, 360, 667]","[486, 482, 4]","[799, 791, 72]"
"[3, 3, 3]",Green_20canKAP24_2021_frame_43675.jpg,"[14, 182, 183]","[254, 623, 656]","[574, 834, 894]","[624, 979, 963]"
"[1, 1]",WP54_frame_97522.jpg,"[597, 1176]","[693, 1573]","[383, 139]","[530, 422]"
[3],WP54_frame_85654.jpg,[1089],[1457],[569],[768]
[3],PMR74_2021_03_01_frame_5725.jpg,[798],[932],[685],[715]
"[3, 3]",WP54_frame_99320.jpg,"[920, 1485]","[1294, 1807]","[619, 503]","[742, 779]"
"[1, 1]",WP40_frame_31408.jpg,"[1392, 1709]","[1500, 1847]","[779, 454]","[880, 504]"
"[2, 2]",WP54_frame_47052.jpg,"[1315, 1644]","[1425, 1756]","[157, 132]","[203, 228]"
"[1, 1]",Rangatira_20pointKAP23_2021_frame_20825.jpg,"[366, 425]","[888, 760]","[619, 665]","[883, 909]"
"[3, 3]",Rangatira_20pointKAP23_2021_frame_27225.jpg,"[299, 317]","[646, 629]","[435, 499]","[690, 606]"
[2],WP40_frame_43066.jpg,[1404],[1576],[899],[1069]
[3],PMR74_2021_03_01_frame_38950.jpg,[1045],[1169],[-44],[221]
[2],WP40_frame_109690.jpg,[1312],[1485],[460],[724]
"[1, 1]",Rangatira_20pointKAP23_2021_frame_38325.jpg,"[78, 230]","[411, 459]","[458, -17]","[918, 111]"
"[2, 3, 3]",WP40_frame_55324.jpg,"[1018, 89, 1029]","[1174, 201, 1216]","[707, 846, 730]","[899, 982, 881]"
[3],WP38_frame_83676.jpg,[1839],[1962],[590],[873]
[3],WP54_frame_86373.jpg,[1450],[1893],[540],[764]
[2],WP38_frame_80769.jpg,[1534],[1722],[779],[866]
[1],PMR23_2012_frame_34465.jpg,[15],[119],[370],[454]
[3],WP54_frame_83616.jpg,[1020],[1293],[570],[796]
"[1, 1]",KPT_017_2021_02_26_frame_30737.jpg,"[683, 1142]","[832, 1293]","[734, 36]","[845, 63]"
[1],WP40_frame_47682.jpg,[272],[466],[423],[480]
"[1, 1, 2]",PMR74_2021_03_01_frame_38025.jpg,"[1154, 1206, 340]","[1275, 1315, 525]","[255, 313, 381]","[514, 552, 521]"
"[2, 2]",WP40_frame_39170.jpg,"[1181, 1434]","[1381, 1568]","[636, 775]","[853, 844]"
"[1, 1, 2]",WP38_frame_92007.jpg,"[668, 1212, 906]","[841, 1314, 1097]","[733, 342, 639]","[873, 481, 871]"
[3],WP38_frame_83736.jpg,[1728],[1912],[479],[888]
[1],Onepoto_20pointKAP20_2020_frame_52837.jpg,[561],[765],[446],[718]
[2],WP54_frame_38871.jpg,[854],[986],[774],[884]
[3],WP40_frame_43366.jpg,[1049],[1108],[763],[934]
[2],KPT_017_2021_02_26_frame_28912.jpg,[227],[310],[150],[290]
"[1, 1, 2, 2, 2]",EE11_2011_frame_53466.jpg,"[375, 473, 353, 380, 480]","[455, 644, 462, 454, 628]","[65, 259, 53, 74, 278]","[140, 327, 151, 137, 323]"
"[2, 2, 3]",WP40_frame_71088.jpg,"[1464, 1630, 1499]","[1641, 1773, 1769]","[907, 500, 940]","[1004, 535, 1017]"
"[3, 3, 3, 3, 3, 3]",PMR13_2012_frame_44775.jpg,"[54, 140, 169, 225, 250, 363]","[141, 339, 300, 307, 289, 536]","[100, 353, 388, 145, 147, 11]","[138, 451, 424, 282, 288, 238]"
"[3, 3]",WP54_frame_71868.jpg,"[1073, 1735]","[1189, 1917]","[510, 915]","[815, 1076]"
[1],KPT_017_2021_02_26_frame_46775.jpg,[600],[1010],[523],[619]
[3],WP40_frame_41448.jpg,[845],[978],[818],[963]
"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_38700.jpg,"[216, 370, 902]","[592, 447, 1112]","[28, -10, 813]","[238, 277, 947]"
"[2, 3]",WP54_frame_107472.jpg,"[1447, 1413]","[1605, 1584]","[358, 368]","[772, 754]"
"[1, 1]",Onepoto_20pointKAP20_2020_frame_52597.jpg,"[97, 682]","[425, 800]","[346, 757]","[1082, 792]"
"[1, 1, 1, 2]",WP38_frame_98541.jpg,"[427, 1146, 1315, 411]","[496, 1512, 1581, 548]","[864, 410, 632, 888]","[1009, 860, 744, 1011]"
[3],WP54_frame_86193.jpg,[1594],[1971],[420],[651]
"[1, 2]",WP40_frame_49630.jpg,"[720, 957]","[1211, 1070]","[556, 575]","[832, 636]"
[2],WP38_frame_97522.jpg,[1234],[1285],[652],[856]
[2],WP40_frame_43846.jpg,[1066],[1201],[551],[609]
"[1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_1925.jpg,"[773, 934]","[864, 1134]","[862, 109]","[958, 225]"
[3],Green_20canKAP24_2021_frame_45675.jpg,[222],[535],[467],[704]
"[2, 2, 3]",WP40_frame_71208.jpg,"[999, 1515, 998]","[1199, 1652, 1211]","[778, 517, 786]","[879, 582, 868]"
"[3, 3]",WP54_frame_87662.jpg,"[944, 1668]","[1182, 1967]","[548, 766]","[933, 962]"
"[1, 1, 2]",KPT_017_2021_02_26_frame_19637.jpg,"[956, 1092, 608]","[1138, 1295, 718]","[12, 612, 114]","[85, 925, 297]"
[3],Green_20canKAP24_2021_frame_33825.jpg,[392],[588],[439],[756]
"[1, 2]",WP40_frame_24275.jpg,"[1510, 811]","[1638, 1693]","[436, 235]","[540, 854]"
"[1, 2]",Onepoto_20pointKAP20_2020_frame_53706.jpg,"[565, 301]","[802, 378]","[936, 761]","[1074, 871]"
[3],WP40_frame_113286.jpg,[781],[879],[535],[688]
"[3, 3]",Green_20canKAP24_2021_frame_38062.jpg,"[293, 382]","[574, 464]","[323, 266]","[582, 647]"
"[1, 2]",KPT_017_2021_02_26_frame_29662.jpg,"[355, 754]","[558, 880]","[806, 450]","[957, 566]"
[3],Onepoto_20pointKAP20_2020_frame_54065.jpg,[806],[1116],[597],[914]
[1],Onepoto_20pointKAP20_2020_frame_54035.jpg,[294],[893],[390],[789]
"[2, 2, 3]",WP40_frame_39230.jpg,"[1112, 1525, 1306]","[1263, 1719, 1521]","[981, 942, 770]","[1089, 1076, 844]"
"[3, 3, 3]",WP54_frame_100519.jpg,"[445, 499, 531]","[785, 647, 668]","[-43, 165, 49]","[369, 399, 380]"
[3],Rangatira_20pointKAP23_2021_frame_19650.jpg,[830],[1198],[866],[987]
[1],TUH_035_22_09_2020_frame_62577.jpg,[504],[848],[463],[627]
"[2, 2]",WP40_frame_42887.jpg,"[1256, 1296]","[1477, 1384]","[699, 698]","[827, 791]"
[3],WP40_frame_110469.jpg,[389],[431],[846],[1031]
[2],WP54_frame_25954.jpg,[1557],[1701],[797],[871]
"[3, 3]",Green_20canKAP24_2021_frame_45575.jpg,"[161, 296]","[503, 460]","[464, 138]","[591, 342]"
[1],Rangatira_20pointKAP23_2021_frame_19825.jpg,[235],[391],[827],[945]
"[3, 3, 3]",Green_20canKAP24_2021_frame_44300.jpg,"[132, 157, 1212]","[498, 508, 1347]","[15, 555, 759]","[291, 655, 852]"
"[3, 3]",WP54_frame_86673.jpg,"[780, 1189]","[1264, 1637]","[249, 764]","[465, 936]"
[3],WP54_frame_95664.jpg,[1035],[1330],[655],[824]
[1],WP38_frame_94285.jpg,[1202],[1389],[335],[449]
"[3, 3]",WP38_frame_86673.jpg,"[228, 850]","[630, 916]","[-8, 734]","[152, 863]"
[3],Rangatira_20pointKAP23_2021_frame_38250.jpg,[347],[606],[481],[927]
[3],Green_20canKAP24_2021_frame_26425.jpg,[0],[345],[414],[536]
[3],KPT_017_2021_02_26_frame_29087.jpg,[800],[1031],[95],[440]
[3],PMR74_2021_03_01_frame_39537.jpg,[125],[380],[-10],[127]
[3],Onepoto_20pointKAP20_2020_frame_60314.jpg,[331],[450],[613],[730]
[1],EE16_2011_frame_27752.jpg,[358],[426],[351],[487]
[1],TUH_035_22_09_2020_frame_65454.jpg,[868],[936],[1028],[1063]
[3],Rangatira_20pointKAP23_2021_frame_39075.jpg,[47],[584],[492],[894]
[2],WP40_frame_71148.jpg,[1603],[1655],[523],[593]
[2],Onepoto_20pointKAP20_2020_frame_60884.jpg,[826],[985],[665],[736]
"[3, 3]",WP54_frame_86853.jpg,"[468, 1177]","[849, 1503]","[498, 791]","[692, 1075]"
[1],Rangatira_20pointKAP23_2021_frame_37525.jpg,[776],[1138],[491],[660]
"[3, 3]",WP54_frame_88771.jpg,"[1020, 1600]","[1464, 1876]","[143, 929]","[322, 1068]"
[3],WP54_frame_87092.jpg,[882],[1289],[578],[746]
"[1, 1]",DD5_2011_frame_47532.jpg,"[457, 543]","[532, 610]","[286, 148]","[409, 313]"
[1],WP40_frame_107712.jpg,[940],[1042],[368],[418]
"[3, 3]",WP54_frame_79240.jpg,"[866, 1469]","[1137, 1789]","[552, 607]","[783, 861]"
[3],WP38_frame_103156.jpg,[1721],[2022],[482],[858]
